Year,Month,Mdate,Sensor_Name,Count,Rank
2009,December,1,Flinders Street Station Underpass,28404,2.0
2009,December,1,Bourke Street Mall (South),28393,3.0
2009,December,1,Melbourne Central,27029,4.0
2009,December,1,Flagstaff Station,25649,5.0
2009,December,1,Bourke Street Mall (North),24580,6.0
2009,December,1,Princes Bridge,22662,7.0
2009,December,1,Australia on Collins,19072,8.0
2009,December,1,State Library,17121,9.0
2009,December,1,Collins Place (South),15030,10.0
2009,December,2,Town Hall (West),38983,1.0
2009,December,2,Bourke Street Mall (South),30954,2.0
2009,December,2,Flinders Street Station Underpass,29628,3.0
2009,December,2,Melbourne Central,27712,4.0
2009,December,2,Bourke Street Mall (North),26970,5.0
2009,December,2,Flagstaff Station,25832,6.0
2009,December,2,Princes Bridge,25020,7.0
2009,December,2,Australia on Collins,20460,8.0
2009,December,2,State Library,18218,9.0
2009,December,2,Collins Place (South),15876,10.0
2009,December,3,Town Hall (West),37640,1.0
2009,December,3,Bourke Street Mall (South),32025,2.0
2009,December,3,Flinders Street Station Underpass,27109,3.0
2009,December,3,Flagstaff Station,26069,4.0
2009,December,3,Melbourne Central,25845,5.0
2009,December,3,Bourke Street Mall (North),24526,6.0
2009,December,3,Princes Bridge,22546,7.0
2009,December,3,Australia on Collins,19746,8.0
2009,December,3,State Library,16852,9.0
2009,December,3,Collins Place (South),15427,10.0
2009,December,4,Town Hall (West),46314,1.0
2009,December,4,Bourke Street Mall (South),37730,2.0
2009,December,4,Flinders Street Station Underpass,32711,3.0
2009,December,4,Bourke Street Mall (North),31162,4.0
2009,December,4,Melbourne Central,30853,5.0
2009,December,4,Princes Bridge,28775,6.0
2009,December,4,Flagstaff Station,24455,7.0
2009,December,4,Australia on Collins,23773,8.0
2009,December,4,State Library,19803,9.0
2009,December,4,Collins Place (South),15164,10.0
2009,December,5,Town Hall (West),40274,1.0
2009,December,5,Bourke Street Mall (South),30418,2.0
2009,December,5,Bourke Street Mall (North),26730,3.0
2009,December,5,Melbourne Central,26668,4.0
2009,December,5,Princes Bridge,24113,5.0
2009,December,5,Flinders Street Station Underpass,20622,6.0
2009,December,5,State Library,15531,7.0
2009,December,5,Australia on Collins,14046,8.0
2009,December,5,Sandridge Bridge,8067,9.0
2009,December,5,New Quay,7262,10.0
2009,December,6,Town Hall (West),35063,1.0
2009,December,6,Bourke Street Mall (South),26533,2.0
2009,December,6,Princes Bridge,24142,3.0
2009,December,6,Bourke Street Mall (North),23138,4.0
2009,December,6,Melbourne Central,23101,5.0
2009,December,6,Flinders Street Station Underpass,19596,6.0
2009,December,6,State Library,13334,7.0
2009,December,6,Waterfront City,12091,8.0
2009,December,6,Australia on Collins,11103,9.0
2009,December,6,New Quay,9240,10.0
2009,December,7,Town Hall (West),37481,1.0
2009,December,7,Bourke Street Mall (South),28995,2.0
2009,December,7,Flinders Street Station Underpass,27025,3.0
2009,December,7,Flagstaff Station,25207,4.0
2009,December,7,Bourke Street Mall (North),24248,5.0
2009,December,7,Melbourne Central,23667,6.0
2009,December,7,Princes Bridge,22583,7.0
2009,December,7,Australia on Collins,18580,8.0
2009,December,7,State Library,14624,9.0
2009,December,7,Collins Place (South),14326,10.0
2009,December,8,Town Hall (West),32101,1.0
2009,December,8,Flagstaff Station,30888,2.0
2009,December,8,Bourke Street Mall (South),25865,3.0
2009,December,8,Flinders Street Station Underpass,24520,4.0
2009,December,8,Melbourne Central,21722,5.0
2009,December,8,Princes Bridge,20701,6.0
2009,December,8,Bourke Street Mall (North),19464,7.0
2009,December,8,Australia on Collins,16471,8.0
2009,December,8,Collins Place (North),16265,9.0
2009,December,8,Collins Place (South),14269,10.0
2009,December,9,Town Hall (West),40241,1.0
2009,December,9,Bourke Street Mall (South),33029,2.0
2009,December,9,Flinders Street Station Underpass,29056,3.0
2009,December,9,Bourke Street Mall (North),28909,4.0
2009,December,9,Melbourne Central,27068,5.0
2009,December,9,Flagstaff Station,26577,6.0
2009,December,9,Princes Bridge,25998,7.0
2009,December,9,Australia on Collins,21463,8.0
2009,December,9,State Library,17555,9.0
2009,December,9,Collins Place (South),15215,10.0
2009,December,10,Town Hall (West),40132,1.0
2009,December,10,Bourke Street Mall (South),33712,2.0
2009,December,10,Flinders Street Station Underpass,27802,3.0
2009,December,10,Bourke Street Mall (North),26698,4.0
2009,December,10,Flagstaff Station,25472,5.0
2009,December,10,Melbourne Central,24918,6.0
2009,December,10,Princes Bridge,23356,7.0
2009,December,10,Australia on Collins,20765,8.0
2009,December,10,Collins Place (South),14940,9.0
2009,December,10,State Library,14572,10.0
2009,December,11,Town Hall (West),45149,1.0
2009,December,11,Bourke Street Mall (South),39296,2.0
2009,December,11,Flinders Street Station Underpass,32121,3.0
2009,December,11,Bourke Street Mall (North),32063,4.0
2009,December,11,Melbourne Central,29854,5.0
2009,December,11,Princes Bridge,27685,6.0
2009,December,11,Flagstaff Station,25304,7.0
2009,December,11,Australia on Collins,23324,8.0
2009,December,11,State Library,17794,9.0
2009,December,11,Collins Place (South),14981,10.0
2009,December,12,Town Hall (West),42589,1.0
2009,December,12,Bourke Street Mall (South),31909,2.0
2009,December,12,Princes Bridge,31148,3.0
